,Seller,Item ID,category,brand,Image_path,Logo Size,Logo Contrast,Logo Conspicuousness,Number of colors,Color Entropy
194,seller_10006328,10872489,Bags,Marc Jacobs,Group4/Sellers/seller_10006328/Images/10872489-6_8.jpg,0.0,0.0,0.0,8.0,0.095
204,seller_1057713,7324444,Bags,Dolce & Gabbana,Group4/Sellers/seller_1057713/Images/7324444-1_1.jpg,0.0,0.0,0.0,8.0,0.083
205,seller_1061282,9025409,Bags,Furla,Group4/Sellers/seller_1061282/Images/9025409-1_1.jpg,0.0,0.0,0.0,7.0,0.068
206,seller_1061282,9022432,Bags,Philipp Plein,Group4/Sellers/seller_1061282/Images/9022432-1_1.jpg,0.0,0.0,0.0,7.0,0.082
210,seller_10839,937347,Bags,Ikks,Group4/Sellers/seller_10839/Images/937347-1_1.jpg,787314.0,0.72,0.6,7.0,0.093
221,seller_1078592,8815631,Bags,Celine,8815631,,,,,
222,seller_1026978,10565453,Bags,Louis Vuitton,Group4/Sellers/seller_1026978/Images/10565453-1_1.jpg,4636.0,0.89,0.008,7.0,0.057
227,seller_1076268,2621282,Bags,Celine,Group4/Sellers/seller_1076268/Images/2621282-1_1.jpg,0.0,0.0,0.0,7.0,0.022
231,seller_100784,230222,Bags,Sonia Rykiel,Group4/Sellers/seller_100784/Images/230222-1_1.jpg,10112.0,1.316,0.014,9.0,0.072
235,seller_102215,3909075,Bags,Celine,Group4/Sellers/seller_102215/Images/3909075-1_1.jpg,3150.0,0.198,0.001,7.0,0.032
241,seller_102215,173011,Bags,D&G,Group4/Sellers/seller_102215/Images/173011-1_1.jpg,0.0,0.0,0.0,7.0,0.045
242,seller_102215,172961,Bags,Vanessa Bruno,Group4/Sellers/seller_102215/Images/172961-1_1.jpg,0.0,0.0,0.0,7.0,0.044
278,seller_1061848,11117362,Bags,Louis Vuitton,Group4/Sellers/seller_1061848/Images/11117362-1_1.jpg,0.0,0.0,0.0,8.0,0.078
279,seller_1061848,11101435,Bags,Christian Louboutin,Group4/Sellers/seller_1061848/Images/11101435-1_2.jpg,0.0,0.0,0.0,8.0,0.067
283,seller_1061848,10938738,Bags,Jimmy Choo,Group4/Sellers/seller_1061848/Images/10938738-1_1.jpg,0.0,0.0,0.0,8.0,0.086
284,seller_1061848,10938436,Bags,Celine,Group4/Sellers/seller_1061848/Images/10938436-1_1.jpg,0.0,0.0,0.0,7.0,0.097
286,seller_1061848,10974687,Bags,Bottega Veneta,Group4/Sellers/seller_1061848/Images/10974687-1_1.jpg,0.0,0.0,0.0,7.0,0.089
289,seller_100722,952168,Bags,Gerard Darel,Group4/Sellers/seller_100722/Images/952168-1_1.jpg,0.0,0.0,0.0,7.0,0.067
